x,t=5.00e-02s,t=1.00e+00s,t=1.00e+01s,t=1.00e+02s
2.462311557788944821e-03,-3.102596436679830209e-16,-3.102596436679830209e-16,-3.102596436679830209e-16,-3.102596436679830209e-16
2.512562814070351796e-03,8.313341994447481226e-17,8.313341994447481226e-17,8.313341994447481226e-17,8.313341994447481226e-17
2.562814070351758771e-03,-2.227542528560440623e-17,-2.227542528560440623e-17,-2.227542528560440623e-17,-2.227542528560440623e-17
2.613065326633165746e-03,5.968653424651055505e-18,5.968653424651055505e-18,5.968653424651055505e-18,5.968653424651055505e-18
2.663316582914572721e-03,-1.599288150364579273e-18,-1.599288150364579273e-18,-1.599288150364579273e-18,-1.599288150364579273e-18
2.713567839195980130e-03,4.285259012247152816e-19,4.285259012247152816e-19,4.285259012247152816e-19,4.285259012247152816e-19
2.763819095477387106e-03,-1.148226152858018452e-19,-1.148226152858018452e-19,-1.148226152858018452e-19,-1.148226152858018452e-19
2.814070351758794081e-03,3.076647862682530891e-20,3.076647862682530891e-20,3.076647862682530891e-20,3.076647862682530891e-20
2.864321608040201056e-03,-8.243813335367786969e-21,-8.243813335367786969e-21,-8.243813335367786969e-21,-8.243813335367786969e-21
2.914572864321608031e-03,2.208912470377192545e-21,2.208912470377192545e-21,2.208912470377192545e-21,2.208912470377192545e-21
2.964824120603015006e-03,-5.918734574998946125e-22,-5.918734574998946125e-22,-5.918734574998946125e-22,-5.918734574998946125e-22
3.015075376884421982e-03,1.585912499434886201e-22,1.585912499434886201e-22,1.585912499434886201e-22,1.585912499434886201e-22
3.065326633165829390e-03,-4.249419236483120544e-23,-4.249419236483120544e-23,-4.249419236483120544e-23,-4.249419236483120544e-23
3.115577889447236366e-03,1.138622960209168819e-23,1.138622960209168819e-23,1.138622960209168819e-23,1.138622960209168819e-23
3.165829145728643341e-03,-3.050916309656612713e-24,-3.050916309656612713e-24,-3.050916309656612713e-24,-3.050916309656612713e-24
3.216080402010050316e-03,8.174866179423253934e-25,8.174866179423253934e-25,8.174866179423253934e-25,8.174866179423253934e-25
