x,t=1.00e+02s,t=1.70e+04s,t=8.00e+05s
6.764693877551019707e-04,1.363832942322534790e+11,2.065484530215943250e+15,3.075684610330259000e+15
7.376938775510203349e-04,5.004745397656870270e+10,1.995331917992215250e+15,2.994745541313909000e+15
7.989183673469386991e-04,1.759747445680785370e+10,1.926312588882029750e+15,2.913806472320731000e+15
8.601428571428570632e-04,5.949456544561985016e+09,1.858412911844614750e+15,2.832867403350450000e+15
9.213673469387754274e-04,1.940683862100912809e+09,1.791617982612872000e+15,2.751928334402764000e+15
9.825918367346937916e-04,6.128055585328643322e+08,1.725911641761703250e+15,2.670989265477345000e+15
1.043816326530612156e-03,1.879076638709416687e+08,1.661276494227527000e+15,2.590050196573836500e+15
1.105040816326530520e-03,5.611661103471662104e+07,1.597693930245643250e+15,2.509111127691867500e+15
1.166265306122448884e-03,1.636567848107370920e+07,1.535144147670267250e+15,2.428172058831032000e+15
1.227489795918367248e-03,4.672392940516747534e+06,1.473606175640433750e+15,2.347232989990904000e+15
1.288714285714285613e-03,1.308799082375959959e+06,1.413057899553552000e+15,2.266293921171033500e+15
1.349938775510203977e-03,3.604155162982987822e+05,1.353476087306989000e+15,2.185354852370950500e+15
1.411163265306122341e-03,9.774825576762821584e+04,1.294836416766966000e+15,2.104415783590157250e+15
1.472387755102040705e-03,2.615078423182291954e+04,1.237113504422971250e+15,2.023476714828140500e+15
1.533612244897959069e-03,6.911150417229324376e+03,1.180280935185050000e+15,1.942537646084356500e+15
1.594836734693877434e-03,1.806582715832762688e+03,1.124311293280582500e+15,1.861598577358253000e+15
1.656061224489795798e-03,4.676258803668067117e+02,1.069176194206571875e+15,1.780659508649247750e+15
1.717285714285714162e-03,1.199802352789530175e+02,1.014846317693011625e+15,1.699720439956743500e+15
1.778510204081632526e-03,3.054082135218064664e+01,9.612914416325478750e+14,1.618781371280122250e+15
1.839734693877550890e-03,7.718953141948174057e+00,9.084804769314643750e+14,1.537842302618751250e+15
1.900959183673469255e-03,1.938438467067030935e+00,8.563815032368966250e+14,1.456903233971977500e+15
1.962183673469387619e-03,4.839912384292898717e-01,8.049618054951945000e+14,1.375964165339130000e+15
2.023408163265306200e-03,1.202157374849105037e-01,7.541879112964448750e+14,1.295025096719527750e+15
2.084632653061224347e-03,2.971966370354558670e-02,7.040256289603385000e+14,1.214086028112471000e+15
2.145857142857142495e-03,7.316148033150127357e-03,6.544400863188381250e+14,1.133146959517244500e+15
2.207081632653061076e-03,1.794129977797158338e-03,6.053957701513992500e+14,1.052207890933120750e+15
2.268306122448979657e-03,4.384466509402547112e-04,5.568565662288816875e+14,9.712688223593616250e+14
2.329530612244897804e-03,1.068103892694284340e-04,5.087857999226893750e+14,8.903297537952160000e+14
2.390755102040815951e-03,2.594610668882581920e-05,4.611462773361290625e+14,8.093906852399205000e+14
2.451979591836734532e-03,6.286488588481169321e-06,4.139003269154343750e+14,7.284516166927023750e+14
2.513204081632653113e-03,1.519585509067234595e-06,3.670098414983800625e+14,6.475125481527811250e+14
2.574428571428571261e-03,3.665362119048116769e-07,3.204363207588773125e+14,5.665734796193673750e+14
2.635653061224489408e-03,8.824048503952295480e-08,2.741409140064150625e+14,4.856344110916630000e+14
2.696877551020407989e-03,2.120578235691188219e-08,2.280844632996517812e+14,4.046953425688647500e+14
2.758102040816326570e-03,5.087932712669938531e-09,1.822275468338790312e+14,3.237562740501625625e+14
2.819326530612244718e-03,1.218777208233150880e-09,1.365305225624685781e+14,2.428172055347446875e+14
2.880551020408162865e-03,2.907213639695767537e-10,9.095357201274937500e+13,1.618781370217922188e+14
2.941775510204081446e-03,6.573392643283547112e-11,4.545674425706573438e+13,8.093906851048453125e+13
3.003000000000000027e-03,1.402548518950329119e-26,8.027006588267401530e-03,1.717361582737440134e-02
